x_cm,z_cm,inside_domain,ks_cm_per_day,head_cm,theta
54.50561797752809,3.3370786516853936,1,45.0,-519.37366,0.14603546
55.61797752808989,3.3370786516853936,1,45.0,-501.03537,0.14740415
56.73033707865169,3.3370786516853936,1,45.0,-483.00223,0.14882728
57.842696629213485,3.3370786516853936,1,45.0,-465.28766,0.15030706
58.95505617977528,3.3370786516853936,1,45.0,-447.9066,0.15184546
60.06741573033708,3.3370786516853936,1,45.0,-430.8706,0.15344475
61.17977528089888,3.3370786516853936,1,45.0,-414.19135,0.15510723
62.29213483146068,3.3370786516853936,1,45.0,-397.87973,0.15683517
63.40449438202248,3.3370786516853936,1,45.0,-381.9449,0.15863097
64.51685393258427,3.3370786516853936,1,45.0,-366.39633,0.16049689
65.62921348314607,3.3370786516853936,1,45.0,-351.24133,0.16243541
66.74157303370787,3.3370786516853936,1,45.0,-336.4877,0.16444877
67.85393258426967,3.3370786516853936,1,45.0,-322.1394,0.16653964
68.96629213483146,3.3370786516853936,1,45.0,-308.20154,0.16871032
70.07865168539327,3.3370786516853936,1,45.0,-294.67737,0.1709633
71.19101123595506,3.3370786516853936,1,45.0,-281.5702,0.17330077
72.30337078651685,3.3370786516853936,1,45.0,-268.8802,0.17572531
73.41573033707866,3.3370786516853936,1,45.0,-256.6073,0.17823923
74.52808988764045,3.3370786516853936,1,45.0,-244.75145,0.18084466
75.64044943820225,3.3370786516853936,1,45.0,-233.31082,0.18354373
76.75280898876404,3.3370786516853936,1,45.0,-222.2818,0.18633866
77.86516853932585,3.3370786516853936,1,45.0,-211.66125,0.18923125
78.97752808988764,3.3370786516853936,1,45.0,-201.4444,0.19222328
80.08988764044945,3.3370786516853936,1,45.0,-191.62665,0.19531609
81.20224719101124,3.3370786516853936,1,45.0,-182.20102,0.19851127
82.31460674157304,3.3370786516853936,1,45.0,-173.16061,0.20180997
83.42696629213484,3.3370786516853936,1,45.0,-164.49913,0.2052125
84.53932584269663,3.3370786516853936,1,45.0,-156.20726,0.20871985
85.65168539325843,3.3370786516853936,1,45.0,-148.27734,0.21233177
86.76404494382022,3.3370786516853936,1,45.0,-140.70027,0.21604791
87.87640449438203,3.3370786516853936,1,45.0,-133.46622,0.21986777
88.98876404494382,3.3370786516853936,1,45.0,-126.56602,0.22378981
90.10112359550563,3.3370786516853936,1,45.0,-119.989655,0.2278122
91.21348314606742,3.3370786516853936,1,45.0,-113.726845,0.23193261
92.32584269662922,3.3370786516853936,1,45.0,-107.76738,0.23614791
93.43820224719101,3.3370786516853936,1,45.0,-102.10053,0.24045461
94.55056179775282,3.3370786516853936,1,45.0,-96.716125,0.24484813
95.66292134831461,3.3370786516853936,1,45.0,-91.60367,0.24932328
96.7752808988764,3.3370786516853936,1,45.0,-86.75235,0.2538745
97.88764044943821,3.3370786516853936,0,,,
99.0,3.3370786516853936,0,,,
0.0,4.449438202247191,1,20.085536923187668,-1472.8545,0.11606501
1.1123595505617978,4.449438202247191,1,20.085536923187668,-1454.1011,0.11633858
2.2247191011235956,4.449438202247191,1,20.085536923187668,-1435.3022,0.11661838
3.3370786516853936,4.449438202247191,1,20.085536923187668,-1416.4425,0.116904885
4.449438202247191,4.449438202247191,1,20.085536923187668,-1397.5287,0.117198214
5.561797752808989,4.449438202247191,1,20.085536923187668,-1378.5453,0.11749891
6.674157303370787,4.449438202247191,1,20.085536923187668,-1359.4995,0.117807135
7.786516853932585,4.449438202247191,1,20.085536923187668,-1340.3832,0.11812332
8.898876404494382,4.449438202247191,1,20.085536923187668,-1321.1909,0.11844791
10.011235955056181,4.449438202247191,1,20.085536923187668,-1301.9203,0.118781276
11.123595505617978,4.449438202247191,1,20.085536923187668,-1282.5735,0.11912377
12.235955056179776,4.449438202247191,1,20.085536923187668,-1263.1382,0.11947601
13.348314606741575,4.449438202247191,1,20.085536923187668,-1243.6208,0.11983833
14.460674157303371,4.449438202247191,1,20.085536923187668,-1224.0187,0.120211214
15.57303370786517,4.449438202247191,1,20.085536923187668,-1204.324,0.120595336
16.685393258426966,4.449438202247191,1,20.085536923187668,-1184.5452,0.12099105
17.797752808988765,4.449438202247191,1,20.085536923187668,-1164.6755,0.12139906
18.910112359550563,4.449438202247191,1,20.085536923187668,-1144.7167,0.12181993
20.022471910112362,4.449438202247191,1,20.085536923187668,-1124.6708,0.12225427
21.134831460674157,4.449438202247191,1,20.085536923187668,-1104.5387,0.122702755
22.247191011235955,4.449438202247191,1,20.085536923187668,-1084.3269,0.123165965
23.359550561797754,4.449438202247191,1,20.085536923187668,-1064.0312,0.1236448
24.471910112359552,4.449438202247191,1,20.085536923187668,-1043.6644,0.124139786
25.58426966292135,4.449438202247191,1,20.085536923187668,-1023.22687,0.1246518
26.69662921348315,4.449438202247191,1,20.085536923187668,-1002.72705,0.12518157
27.808988764044944,4.449438202247191,1,20.085536923187668,-982.1657,0.1257301
